season,round,driver_id,standing_position,points,wins
2014,19,hamilton,1.0,384.0,11
2014,19,rosberg,2.0,317.0,5
2014,19,ricciardo,3.0,238.0,3
2014,19,bottas,4.0,186.0,0
2014,19,vettel,5.0,167.0,0
2014,19,alonso,6.0,161.0,0
2014,19,massa,7.0,134.0,0
2014,19,button,8.0,126.0,0
2014,19,hulkenberg,9.0,96.0,0
2014,19,perez,10.0,59.0,0
2014,19,kevin_magnussen,11.0,55.0,0
2014,19,raikkonen,12.0,55.0,0
2014,19,vergne,13.0,22.0,0
2014,19,grosjean,14.0,8.0,0
2014,19,kvyat,15.0,8.0,0
2014,19,maldonado,16.0,2.0,0
2014,19,jules_bianchi,17.0,2.0,0
2014,19,sutil,18.0,0.0,0
2014,19,ericsson,19.0,0.0,0
2014,19,gutierrez,20.0,0.0,0
2014,19,chilton,21.0,0.0,0
2014,19,kobayashi,22.0,0.0,0
2014,19,stevens,23.0,0.0,0
2014,19,lotterer,,0.0,0
2015,19,hamilton,1.0,381.0,10
2015,19,rosberg,2.0,322.0,6
2015,19,vettel,3.0,278.0,3
2015,19,raikkonen,4.0,150.0,0
2015,19,bottas,5.0,136.0,0
2015,19,massa,6.0,121.0,0
2015,19,kvyat,7.0,95.0,0
2015,19,ricciardo,8.0,92.0,0
2015,19,perez,9.0,78.0,0
2015,19,hulkenberg,10.0,58.0,0
2015,19,grosjean,11.0,51.0,0
2015,19,max_verstappen,12.0,49.0,0
2015,19,nasr,13.0,27.0,0
2015,19,maldonado,14.0,27.0,0
2015,19,sainz,15.0,18.0,0
2015,19,button,16.0,16.0,0
2015,19,alonso,17.0,11.0,0
2015,19,ericsson,18.0,9.0,0
2015,19,merhi,19.0,0.0,0
2015,19,rossi,20.0,0.0,0
2015,19,stevens,21.0,0.0,0
2015,19,kevin_magnussen,,0.0,0
2016,21,rosberg,1.0,385.0,9
2016,21,hamilton,2.0,380.0,10
2016,21,ricciardo,3.0,256.0,1
2016,21,vettel,4.0,212.0,0
2016,21,max_verstappen,5.0,204.0,1
2016,21,raikkonen,6.0,186.0,0
2016,21,perez,7.0,101.0,0
2016,21,bottas,8.0,85.0,0
2016,21,hulkenberg,9.0,72.0,0
2016,21,alonso,10.0,54.0,0
2016,21,massa,11.0,53.0,0
2016,21,sainz,12.0,46.0,0
2016,21,grosjean,13.0,29.0,0
2016,21,kvyat,14.0,25.0,0
2016,21,button,15.0,21.0,0
2016,21,kevin_magnussen,16.0,7.0,0
2016,21,nasr,17.0,2.0,0
2016,21,jolyon_palmer,18.0,1.0,0
2016,21,wehrlein,19.0,1.0,0
2016,21,vandoorne,20.0,1.0,0
2016,21,gutierrez,21.0,0.0,0
2016,21,ericsson,22.0,0.0,0
2016,21,ocon,23.0,0.0,0
2016,21,haryanto,24.0,0.0,0
2017,20,hamilton,1.0,363.0,9
2017,20,vettel,2.0,317.0,5
2017,20,bottas,3.0,305.0,3
2017,20,raikkonen,4.0,205.0,0
2017,20,ricciardo,5.0,200.0,1
2017,20,max_verstappen,6.0,168.0,2
2017,20,perez,7.0,100.0,0
2017,20,ocon,8.0,87.0,0
2017,20,sainz,9.0,54.0,0
2017,20,hulkenberg,10.0,43.0,0
2017,20,massa,11.0,43.0,0
2017,20,stroll,12.0,40.0,0
2017,20,grosjean,13.0,28.0,0
2017,20,kevin_magnussen,14.0,19.0,0
2017,20,alonso,15.0,17.0,0
2017,20,vandoorne,16.0,13.0,0
