season,round,driver_id,lap,stop_number,duration_seconds
2014,1,grosjean,1,1,17.255
2014,1,gutierrez,1,1,32.657
2014,1,perez,1,1,25.541
2014,1,bottas,10,1,34.921
2014,1,button,11,1,22.411
2014,1,perez,11,2,22.497
2014,1,rosberg,12,1,24.331
2014,1,ricciardo,12,1,22.994
2014,1,kevin_magnussen,12,1,23.15
2014,1,hulkenberg,12,1,22.615
2014,1,alonso,12,1,22.887
2014,1,raikkonen,12,1,25.543
2014,1,vergne,12,1,23.124
2014,1,kvyat,12,1,30.514
2014,1,ericsson,23,1,23.238
2014,1,chilton,24,1,24.209
2014,1,jules_bianchi,20,1,23.821
2014,1,grosjean,28,2,22.264
2014,1,maldonado,29,1,22.847
2014,1,gutierrez,30,2,23.797
2014,1,button,32,2,22.399
2014,1,perez,32,3,22.526
2014,1,hulkenberg,33,2,22.933
2014,1,vergne,33,2,22.978
2014,1,alonso,35,2,21.978
2014,1,sutil,35,1,24.305
2014,1,ricciardo,36,2,22.427
2014,1,bottas,36,2,23.117
2014,1,raikkonen,36,2,21.825
2014,1,kvyat,36,2,23.92
2014,2,jules_bianchi,1,1,52.836
2014,2,vergne,2,1,45.629
2014,2,raikkonen,2,1,26.399
2014,2,kevin_magnussen,9,1,37.116
2014,2,kvyat,10,1,25.109
2014,2,gutierrez,10,1,29.42
2014,2,chilton,10,1,25.639
2014,2,alonso,11,1,24.466
2014,2,sutil,11,1,25.998
2014,2,ericsson,11,1,30.04
2014,2,ricciardo,12,1,24.709
2014,2,massa,12,1,24.637
2014,2,grosjean,12,1,25.046
2014,2,vettel,13,1,24.432
2014,2,button,13,1,24.841
2014,2,rosberg,14,1,24.723
2014,2,bottas,14,1,25.02
2014,2,hamilton,15,1,24.604
2014,2,kobayashi,15,1,27.124
2014,2,hulkenberg,16,1,25.336
2014,2,vergne,17,2,26.598
2014,2,raikkonen,18,2,24.417
2014,2,kvyat,22,2,27.473
2014,2,gutierrez,23,2,26.325
2014,2,kevin_magnussen,24,2,30.661
2014,2,sutil,24,2,25.493
2014,2,button,25,2,24.524
2014,2,grosjean,25,2,25.596
2014,2,ericsson,26,2,26.515
2014,2,alonso,27,2,24.222
2014,3,vergne,1,1,33.895
2014,3,sutil,7,1,25.293
2014,3,bottas,10,1,25.04
2014,3,kvyat,10,1,26.064
2014,3,jules_bianchi,10,1,25.756
2014,3,ericsson,11,1,25.367
2014,3,chilton,11,1,25.858
2014,3,alonso,12,1,25.77
2014,3,gutierrez,12,1,25.543
2014,3,massa,13,1,24.528
2014,3,raikkonen,13,1,25.009
2014,3,grosjean,13,1,25.192
2014,3,jules_bianchi,13,2,29.729
2014,3,kevin_magnussen,14,1,24.611
2014,3,sutil,13,2,40.747
2014,3,vergne,14,2,25.897
