season,round,driver_id,constructor_id,qualifying_position
2014,1,hamilton,mercedes,1
2014,1,ricciardo,red_bull,2
2014,1,rosberg,mercedes,3
2014,1,kevin_magnussen,mclaren,4
2014,1,alonso,ferrari,5
2014,1,vergne,toro_rosso,6
2014,1,hulkenberg,force_india,7
2014,1,kvyat,toro_rosso,8
2014,1,massa,williams,9
2014,1,bottas,williams,10
2014,1,button,mclaren,11
2014,1,raikkonen,ferrari,12
2014,1,vettel,red_bull,13
2014,1,sutil,sauber,14
2014,1,kobayashi,caterham,15
2014,1,perez,force_india,16
2014,1,chilton,marussia,17
2014,1,jules_bianchi,marussia,18
2014,1,gutierrez,sauber,19
2014,1,ericsson,caterham,20
2014,1,grosjean,lotus_f1,21
2014,1,maldonado,lotus_f1,22
2014,2,hamilton,mercedes,1
2014,2,vettel,red_bull,2
2014,2,rosberg,mercedes,3
2014,2,alonso,ferrari,4
2014,2,ricciardo,red_bull,5
2014,2,raikkonen,ferrari,6
2014,2,hulkenberg,force_india,7
2014,2,kevin_magnussen,mclaren,8
2015,1,hamilton,mercedes,1
2015,1,rosberg,mercedes,2
2015,1,massa,williams,3
2015,1,vettel,ferrari,4
2015,1,raikkonen,ferrari,5
2015,1,bottas,williams,6
2015,1,ricciardo,red_bull,7
2015,1,sainz,toro_rosso,8
2015,1,grosjean,lotus_f1,9
2015,1,maldonado,lotus_f1,10
2015,1,nasr,sauber,11
2015,1,max_verstappen,toro_rosso,12
2015,1,kvyat,red_bull,13
2015,1,hulkenberg,force_india,14
2015,1,perez,force_india,15
2015,1,ericsson,sauber,16
2015,1,button,mclaren,17
2015,1,kevin_magnussen,mclaren,18
2015,2,hamilton,mercedes,1
2015,2,vettel,ferrari,2
2015,2,rosberg,mercedes,3
2015,2,ricciardo,red_bull,4
2015,2,kvyat,red_bull,5
2015,2,max_verstappen,toro_rosso,6
2015,2,massa,williams,7
2015,2,grosjean,lotus_f1,8
2015,2,bottas,williams,9
2015,2,ericsson,sauber,10
2015,2,raikkonen,ferrari,11
2015,2,maldonado,lotus_f1,12
2016,1,hamilton,mercedes,1
2016,1,rosberg,mercedes,2
2016,1,vettel,ferrari,3
2016,1,raikkonen,ferrari,4
2016,1,max_verstappen,toro_rosso,5
2016,1,massa,williams,6
2016,1,sainz,toro_rosso,7
2016,1,ricciardo,red_bull,8
2016,1,perez,force_india,9
2016,1,hulkenberg,force_india,10
2016,1,bottas,williams,11
2016,1,alonso,mclaren,12
2016,1,button,mclaren,13
2016,1,jolyon_palmer,renault,14
2016,1,kevin_magnussen,renault,15
2016,1,ericsson,sauber,16
2016,1,nasr,sauber,17
2016,1,kvyat,red_bull,18
2016,1,grosjean,haas,19
2016,1,gutierrez,haas,20
2016,1,haryanto,manor,21
2016,1,wehrlein,manor,22
2016,2,hamilton,mercedes,1
2016,2,rosberg,mercedes,2
2016,2,vettel,ferrari,3
2016,2,raikkonen,ferrari,4
2016,2,ricciardo,red_bull,5
2016,2,bottas,williams,6
2016,2,massa,williams,7
2016,2,hulkenberg,force_india,8
2017,1,hamilton,mercedes,1
2017,1,vettel,ferrari,2
2017,1,bottas,mercedes,3
2017,1,raikkonen,ferrari,4
2017,1,max_verstappen,red_bull,5
2017,1,grosjean,haas,6
2017,1,massa,williams,7
2017,1,sainz,toro_rosso,8
2017,1,kvyat,toro_rosso,9
2017,1,ricciardo,red_bull,10
2017,1,perez,force_india,11
2017,1,hulkenberg,renault,12
2017,1,alonso,mclaren,13
2017,1,ocon,force_india,14
2017,1,ericsson,sauber,15
2017,1,giovinazzi,sauber,16
2017,1,kevin_magnussen,haas,17
2017,1,vandoorne,mclaren,18
2017,1,stroll,williams,19
2017,1,jolyon_palmer,renault,20
2017,2,hamilton,mercedes,1
2017,2,vettel,ferrari,2
2017,2,bottas,mercedes,3
2017,2,raikkonen,ferrari,4
2017,2,ricciardo,red_bull,5
2017,2,massa,williams,6
2017,2,hulkenberg,renault,7
2017,2,perez,force_india,8
2017,2,kvyat,toro_rosso,9
2017,2,stroll,williams,10
2018,1,hamilton,mercedes,1
2018,1,raikkonen,ferrari,2
2018,1,vettel,ferrari,3
2018,1,max_verstappen,red_bull,4
2018,1,ricciardo,red_bull,5
2018,1,kevin_magnussen,haas,6
2018,1,grosjean,haas,7
2018,1,hulkenberg,renault,8
2018,1,sainz,renault,9
2018,1,bottas,mercedes,10
2018,1,alonso,mclaren,11
2018,1,vandoorne,mclaren,12
2018,1,perez,force_india,13
2018,1,stroll,williams,14
2018,1,ocon,force_india,15
2018,1,brendon_hartley,toro_rosso,16
2018,1,ericsson,sauber,17
2018,1,leclerc,sauber,18
2018,1,sirotkin,williams,19
2018,1,gasly,toro_rosso,20
2018,2,vettel,ferrari,1
2018,2,raikkonen,ferrari,2
2018,2,bottas,mercedes,3
2018,2,hamilton,mercedes,4
2018,2,ricciardo,red_bull,5
2018,2,gasly,toro_rosso,6
2018,2,kevin_magnussen,haas,7
2018,2,hulkenberg,renault,8
2018,2,ocon,force_india,9
2018,2,sainz,renault,10
2019,1,hamilton,mercedes,1
2019,1,bottas,mercedes,2
2019,1,vettel,ferrari,3
2019,1,max_verstappen,red_bull,4
2019,1,leclerc,ferrari,5
2019,1,grosjean,haas,6
2019,1,kevin_magnussen,haas,7
2019,1,norris,mclaren,8
2019,1,raikkonen,alfa,9
2019,1,perez,racing_point,10
2019,1,hulkenberg,renault,11
2019,1,ricciardo,renault,12
2019,1,albon,toro_rosso,13
2019,1,giovinazzi,alfa,14
2019,1,kvyat,toro_rosso,15
2019,1,stroll,racing_point,16
2019,1,gasly,red_bull,17
2019,1,sainz,mclaren,18
2019,1,russell,williams,19
2019,1,kubica,williams,20
2019,2,leclerc,ferrari,1
2019,2,vettel,ferrari,2
2019,2,hamilton,mercedes,3
2019,2,bottas,mercedes,4
2019,2,max_verstappen,red_bull,5
2019,2,kevin_magnussen,haas,6
2019,2,sainz,mclaren,7
2019,2,grosjean,haas,8
2019,2,raikkonen,alfa,9
2019,2,norris,mclaren,10
2020,1,bottas,mercedes,1
2020,1,hamilton,mercedes,2
2020,1,max_verstappen,red_bull,3
2020,1,norris,mclaren,4
2020,1,albon,red_bull,5
2020,1,perez,racing_point,6
2020,1,leclerc,ferrari,7
2020,1,sainz,mclaren,8
2020,1,stroll,racing_point,9
2020,1,ricciardo,renault,10
2020,1,vettel,ferrari,11
2020,1,gasly,alphatauri,12
2020,1,kvyat,alphatauri,13
2020,1,ocon,renault,14
2020,1,grosjean,haas,15
2020,1,kevin_magnussen,haas,16
2020,1,russell,williams,17
2020,1,giovinazzi,alfa,18
2020,1,raikkonen,alfa,19
2020,1,latifi,williams,20
2020,2,hamilton,mercedes,1
2020,2,max_verstappen,red_bull,2
2020,2,sainz,mclaren,3
2020,2,bottas,mercedes,4
2020,2,ocon,renault,5
2020,2,norris,mclaren,6
2020,2,albon,red_bull,7
2020,2,gasly,alphatauri,8
2020,2,ricciardo,renault,9
2020,2,vettel,ferrari,10
