season,round,driver_id,constructor_id,grid_position,finish_position,points,laps,status_id,is_dnf
2014,1,rosberg,mercedes,3,1,25.0,57,1,False
2014,1,kevin_magnussen,mclaren,4,2,18.0,57,1,False
2014,1,button,mclaren,10,3,15.0,57,1,False
2014,1,alonso,ferrari,5,4,12.0,57,1,False
2014,1,bottas,williams,15,5,10.0,57,1,False
2014,1,hulkenberg,force_india,7,6,8.0,57,1,False
2014,1,raikkonen,ferrari,11,7,6.0,57,1,False
2014,1,vergne,toro_rosso,6,8,4.0,57,1,False
2014,1,kvyat,toro_rosso,8,9,2.0,57,1,False
2014,1,perez,force_india,16,10,1.0,57,1,False
2014,1,sutil,sauber,13,11,0.0,56,11,True
2014,1,gutierrez,sauber,20,12,0.0,56,11,True
2014,1,chilton,marussia,17,13,0.0,55,12,True
2014,1,jules_bianchi,marussia,18,14,0.0,49,18,True
2014,1,grosjean,lotus_f1,22,15,0.0,43,132,True
2014,1,maldonado,lotus_f1,21,16,0.0,29,132,True
2014,1,ericsson,caterham,19,17,0.0,27,51,True
2014,1,vettel,red_bull,12,18,0.0,3,5,True
2014,1,hamilton,mercedes,1,19,0.0,2,5,True
2014,1,massa,williams,9,20,0.0,0,4,True
2014,1,kobayashi,caterham,14,21,0.0,0,4,True
2014,1,ricciardo,red_bull,2,22,0.0,57,2,True
2014,2,hamilton,mercedes,1,1,25.0,56,1,False
2014,2,rosberg,mercedes,3,2,18.0,56,1,False
2014,2,vettel,red_bull,2,3,15.0,56,1,False
2014,2,alonso,ferrari,4,4,12.0,56,1,False
2014,2,hulkenberg,force_india,7,5,10.0,56,1,False
2014,2,button,mclaren,10,6,8.0,56,1,False
2014,2,massa,williams,13,7,6.0,56,1,False
2014,2,bottas,williams,18,8,4.0,56,1,False
2014,2,kevin_magnussen,mclaren,8,9,2.0,55,11,True
2014,2,kvyat,toro_rosso,11,10,1.0,55,11,True
2014,2,grosjean,lotus_f1,15,11,0.0,55,11,True
2014,2,raikkonen,ferrari,6,12,0.0,55,11,True
2014,2,kobayashi,caterham,20,13,0.0,55,11,True
2014,2,ericsson,caterham,22,14,0.0,54,12,True
2014,2,chilton,marussia,21,15,0.0,54,12,True
2014,2,ricciardo,red_bull,5,16,0.0,49,39,True
2014,2,gutierrez,sauber,12,17,0.0,35,6,True
2014,2,sutil,sauber,17,18,0.0,32,10,True
2014,2,vergne,toro_rosso,9,19,0.0,18,131,True
2014,2,jules_bianchi,marussia,19,20,0.0,8,23,True
2014,2,maldonado,lotus_f1,16,21,0.0,7,5,True
2014,2,perez,force_india,14,22,0.0,0,54,True
2014,3,hamilton,mercedes,2,1,25.0,57,1,False
2014,3,rosberg,mercedes,1,2,18.0,57,1,False
2014,3,perez,force_india,4,3,15.0,57,1,False
2014,3,ricciardo,red_bull,13,4,12.0,57,1,False
2014,3,hulkenberg,force_india,11,5,10.0,57,1,False
2014,3,vettel,red_bull,10,6,8.0,57,1,False
2014,3,massa,williams,7,7,6.0,57,1,False
2014,3,bottas,williams,3,8,4.0,57,1,False
2014,3,alonso,ferrari,9,9,2.0,57,1,False
2014,3,raikkonen,ferrari,5,10,1.0,57,1,False
2014,3,kvyat,toro_rosso,12,11,0.0,57,1,False
2014,3,grosjean,lotus_f1,16,12,0.0,57,1,False
2014,3,chilton,marussia,21,13,0.0,57,1,False
