season,round,driver_id,constructor_id,grid_position,finish_position,points,laps,status_id,is_dnf,is_sprint
2021,10,max_verstappen,red_bull,2,1,3,17,1,False,True
2021,10,hamilton,mercedes,1,2,2,17,1,False,True
2021,10,bottas,mercedes,3,3,1,17,1,False,True
2021,10,leclerc,ferrari,4,4,0,17,1,False,True
2021,10,norris,mclaren,6,5,0,17,1,False,True
2021,10,ricciardo,mclaren,7,6,0,17,1,False,True
2021,10,alonso,alpine,11,7,0,17,1,False,True
2021,10,vettel,aston_martin,10,8,0,17,1,False,True
2021,10,russell,williams,8,9,0,17,1,False,True
2021,10,ocon,alpine,13,10,0,17,1,False,True
2021,10,sainz,ferrari,9,11,0,17,1,False,True
2021,10,gasly,alphatauri,12,12,0,17,1,False,True
2021,10,raikkonen,alfa,17,13,0,17,1,False,True
2021,10,stroll,aston_martin,15,14,0,17,1,False,True
2021,10,giovinazzi,alfa,14,15,0,17,1,False,True
2021,10,tsunoda,alphatauri,16,16,0,17,1,False,True
2021,10,latifi,williams,18,17,0,17,1,False,True
2021,10,mick_schumacher,haas,19,18,0,17,1,False,True
2021,10,mazepin,haas,20,19,0,17,1,False,True
2021,10,perez,red_bull,5,20,0,16,76,True,True
2021,14,bottas,mercedes,1,1,3,18,1,False,True
2021,14,max_verstappen,red_bull,3,2,2,18,1,False,True
2021,14,ricciardo,mclaren,5,3,1,18,1,False,True
2021,14,norris,mclaren,4,4,0,18,1,False,True
2021,14,hamilton,mercedes,2,5,0,18,1,False,True
2021,14,leclerc,ferrari,8,6,0,18,1,False,True
2021,14,sainz,ferrari,7,7,0,18,1,False,True
2021,14,giovinazzi,alfa,10,8,0,18,1,False,True
2021,14,perez,red_bull,9,9,0,18,1,False,True
2021,14,stroll,aston_martin,12,10,0,18,1,False,True
2021,14,alonso,alpine,13,11,0,18,1,False,True
2021,14,vettel,aston_martin,11,12,0,18,1,False,True
2021,14,ocon,alpine,14,13,0,18,1,False,True
2021,14,latifi,williams,16,14,0,18,1,False,True
2021,14,russell,williams,15,15,0,18,1,False,True
2021,14,tsunoda,alphatauri,17,16,0,18,1,False,True
2021,14,mazepin,haas,20,17,0,18,1,False,True
2021,14,kubica,alfa,19,18,0,18,1,False,True
2021,14,mick_schumacher,haas,18,19,0,18,1,False,True
2021,14,gasly,alphatauri,6,20,0,0,3,True,True
2021,19,bottas,mercedes,2,1,3,24,1,False,True
2021,19,max_verstappen,red_bull,1,2,2,24,1,False,True
2021,19,sainz,ferrari,5,3,1,24,1,False,True
2021,19,perez,red_bull,3,4,0,24,1,False,True
2021,19,hamilton,mercedes,20,5,0,24,1,False,True
2021,19,norris,mclaren,7,6,0,24,1,False,True
2021,19,leclerc,ferrari,6,7,0,24,1,False,True
2021,19,gasly,alphatauri,4,8,0,24,1,False,True
2021,19,ocon,alpine,10,9,0,24,1,False,True
2021,19,vettel,aston_martin,11,10,0,24,1,False,True
2021,19,ricciardo,mclaren,8,11,0,24,1,False,True
2021,19,alonso,alpine,9,12,0,24,1,False,True
2021,19,giovinazzi,alfa,14,13,0,24,1,False,True
2021,19,stroll,aston_martin,15,14,0,24,1,False,True
2021,19,tsunoda,alphatauri,12,15,0,24,1,False,True
2021,19,latifi,williams,16,16,0,24,1,False,True
2021,19,russell,williams,17,17,0,24,1,False,True
2021,19,raikkonen,alfa,13,18,0,24,1,False,True
2021,19,mick_schumacher,haas,18,19,0,24,1,False,True
2021,19,mazepin,haas,19,20,0,24,1,False,True
2022,4,max_verstappen,red_bull,1,1,8,21,1,False,True
2022,4,leclerc,ferrari,2,2,7,21,1,False,True
2022,4,perez,red_bull,7,3,6,21,1,False,True
2022,4,sainz,ferrari,10,4,5,21,1,False,True
2022,4,norris,mclaren,3,5,4,21,1,False,True
2022,4,ricciardo,mclaren,6,6,3,21,1,False,True
2022,4,bottas,alfa,8,7,2,21,1,False,True
2022,4,kevin_magnussen,haas,4,8,1,21,1,False,True
2022,4,alonso,alpine,5,9,0,21,1,False,True
2022,4,mick_schumacher,haas,12,10,0,21,1,False,True
2022,4,russell,mercedes,11,11,0,21,1,False,True
2022,4,tsunoda,alphatauri,16,12,0,21,1,False,True
2022,4,vettel,aston_martin,9,13,0,21,1,False,True
2022,4,hamilton,mercedes,13,14,0,21,1,False,True
2022,4,stroll,aston_martin,15,15,0,21,1,False,True
2022,4,ocon,alpine,19,16,0,21,1,False,True
2022,4,gasly,alphatauri,17,17,0,21,1,False,True
2022,4,albon,williams,20,18,0,21,1,False,True
2022,4,latifi,williams,18,19,0,21,1,False,True
2022,4,zhou,alfa,0,20,0,0,31,True,True
2022,11,max_verstappen,red_bull,1,1,8,23,1,False,True
2022,11,leclerc,ferrari,2,2,7,23,1,False,True
2022,11,sainz,ferrari,3,3,6,23,1,False,True
2022,11,russell,mercedes,4,4,5,23,1,False,True
