season,round,position,positionText,points,wins,Constructor_constructorId,Constructor_url,Constructor_name,Constructor_nationality
2014,19,1,1,701,16,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2014,19,2,2,405,3,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2014,19,3,3,320,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2014,19,4,4,216,0,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2014,19,5,5,181,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2014,19,6,6,155,0,force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
2014,19,7,7,30,0,toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2014,19,8,8,10,0,lotus_f1,https://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
2014,19,9,9,2,0,marussia,https://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian
2014,19,10,10,0,0,sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
2014,19,11,11,0,0,caterham,https://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
2015,19,1,1,703,16,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2015,19,2,2,428,3,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2015,19,3,3,257,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2015,19,4,4,187,0,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2015,19,5,5,136,0,force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
2015,19,6,6,78,0,lotus_f1,https://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
2015,19,7,7,67,0,toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2015,19,8,8,36,0,sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
2015,19,9,9,27,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2015,19,10,10,0,0,manor,https://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British
2016,21,1,1,765,19,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2016,21,2,2,468,2,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2016,21,3,3,398,0,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2016,21,4,4,173,0,force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
2016,21,5,5,138,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2016,21,6,6,76,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2016,21,7,7,63,0,toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2016,21,8,8,29,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2016,21,9,9,8,0,renault,https://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2016,21,10,10,2,0,sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
2016,21,11,11,1,0,manor,https://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British
2017,20,1,1,668,12,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2017,20,2,2,522,5,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2017,20,3,3,368,3,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2017,20,4,4,187,0,force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
2017,20,5,5,83,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2017,20,6,6,57,0,renault,https://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
